Budget,Climate,Duration,Activity,Season,Region,Destination
High,Cold,6,Skiing,Winter,International,Canada
High,Hot,4,Desert Safari,Winter,International,Morocco
Low,Hot,3,Wildlife,Monsoon,International,Madagascar
High,Cold,9,Mountain Climbing,Summer,International,Patagonia
Medium,Snowy,5,Skiing,Winter,International,Sweden
Medium,Temperate,3,City Break,Spring,International,Barcelona
Low,Cool,12,Mountain Climbing,Spring,Domestic,Varanasi
Medium,Hot,2,Desert Safari,Autumn,International,Namibia
Medium,Hot,3,Desert Safari,Autumn,International,Egypt
Low,Temperate,3,City Break,Autumn,Domestic,Goa Beaches
Low,Hot,3,Beach,Spring,Domestic,Rishikesh
Medium,Hot,7,Island Hopping,Spring,Domestic,Shimla
Medium,Hot,4,Beach,Spring,International,Santorini
High,Rainy,6,Wildlife,Winter,International,Costa Rica
Low,Sunny,5,Island Hopping,Spring,Domestic,Rishikesh
High,Rainy,9,Jungle Trekking,Winter,International,Congo
High,Cool,14,Mountain Climbing,Summer,Domestic,Darjeeling Hills
High,Hot,9,Wildlife,Spring,International,Galapagos
Medium,Warm,7,Island Hopping,Spring,International,Greece
Low,Temperate,3,Food Tour,Spring,Domestic,Cox’s Bazar
Medium,Cool,5,City Break,Spring,International,Prague
High,Cool,9,Hiking,Winter,International,Norway
Low,Sunny,4,Beach,Spring,Domestic,Ladakh
Medium,Hot,5,Wildlife,Winter,International,Galapagos
High,Snowy,10,Skiing,Winter,International,Colorado
Low,Warm,7,Jungle Trekking,Winter,International,Borneo
Medium,Hot,3,Beach,Spring,International,Maldives
Medium,Hot,5,Jungle Trekking,Dry,International,Borneo
Low,Cool,2,Historical,Spring,International,Istanbul
Low,Cool,7,Mountain Climbing,Summer,International,Mont Blanc
Low,Warm,3,Historical,Autumn,International,Machu Picchu
Medium,Temperate,4,City Break,Summer,International,Paris
Low,Warm,5,Island Hopping,Spring,International,Croatia
High,Warm,11,Cruise,Summer,Domestic,Ladakh
Low,Snowy,6,Skiing,Winter,International,Canada
Low,Warm,7,Food Tour,Spring,International,Spain
Medium,Warm,7,Food Tour,Autumn,International,Mexico
High,Temperate,9,Wildlife,Monsoon,International,Amazon
Low,Warm,4,Historical,Spring,International,Machu Picchu
High,Cold,9,Skiing,Winter,Domestic,Rishikesh
Medium,Mild,6,Food Tour,Summer,Domestic,Agra
Low,Mild,2,City Break,Autumn,Domestic,Cox’s Bazar
Low,Rainy,4,Wildlife,Monsoon,International,Madagascar
Low,Hot,7,Wildlife,Winter,International,Amazon
Low,Warm,2,Desert Safari,Winter,Domestic,Rishikesh
High,Cold,8,Skiing,Winter,International,Canada
Medium,Cold,4,Hiking,Spring,Domestic,Sundarbans
Medium,Sunny,5,Island Hopping,Spring,International,Philippines
Medium,Warm,9,Jungle Trekking,Winter,Domestic,Rajasthan Forts
High,Temperate,8,Wildlife,Monsoon,International,Serengeti
Low,Warm,6,Beach,Summer,Domestic,Shimla
High,Snowy,10,Skiing,Winter,International,Japan
High,Sunny,7,Cruise,Spring,Domestic,Rishikesh
High,Sunny,5,Island Hopping,Spring,Domestic,Kashmir Valley
Low,Cool,3,Historical,Autumn,Domestic,Kerala Backwaters
Low,Sunny,5,Island Hopping,Summer,International,Philippines
High,Snowy,8,Skiing,Winter,International,Colorado
High,Cool,8,Hiking,Autumn,International,Norway
High,Cool,7,Hiking,Autumn,International,Austrian Alps
Low,Mild,2,Historical,Autumn,Domestic,Sundarbans
Low,Mild,2,City Break,Spring,International,Barcelona
Low,Warm,2,Desert Safari,Winter,International,Dubai
Low,Warm,4,City Break,Autumn,International,Prague
Low,Hot,3,Beach,Summer,International,Gold Coast
High,Rainy,10,Jungle Trekking,Winter,Domestic,Ladakh
Medium,Cold,9,Mountain Climbing,Summer,International,Everest Base Camp
High,Rainy,9,Wildlife,Monsoon,Domestic,Ladakh
Low,Hot,2,Desert Safari,Autumn,Domestic,Agra
Low,Snowy,7,Skiing,Winter,Domestic,Darjeeling Hills
Low,Cool,5,Hiking,Autumn,International,New Zealand
Medium,Mild,7,Historical,Autumn,International,Machu Picchu
Low,Warm,2,Food Tour,Autumn,International,Spain
Medium,Sunny,10,Cruise,Summer,Domestic,Ladakh
Medium,Cool,9,Mountain Climbing,Summer,International,Everest Base Camp
High,Cool,10,Mountain Climbing,Spring,International,Mont Blanc
Low,Warm,2,Food Tour,Autumn,Domestic,Rishikesh
Low,Cold,6,Hiking,Winter,International,Austrian Alps
High,Cold,8,Skiing,Winter,International,Swiss Alps
Medium,Cold,10,Skiing,Winter,Domestic,Cox’s Bazar
High,Sunny,9,Cruise,Summer,Domestic,Kerala Backwaters
High,Temperate,7,Wildlife,Winter,International,Serengeti
High,Mild,10,Cruise,Summer,Domestic,Kashmir Valley
Low,Warm,4,Food Tour,Autumn,International,Vietnam
Low,Warm,3,Desert Safari,Autumn,International,Egypt
High,Cool,4,Historical,Spring,Domestic,Agra
Low,Rainy,3,Wildlife,Monsoon,International,Costa Rica
Medium,Cool,7,Hiking,Winter,International,Nepal
Medium,Hot,5,Wildlife,Winter,International,Serengeti
Medium,Hot,7,Wildlife,Monsoon,International,Costa Rica
Low,Warm,6,Jungle Trekking,Dry,International,Costa Rica
Low,Cool,8,Hiking,Spring,International,Norway
Low,Mild,5,Hiking,Spring,International,Austrian Alps
Medium,Snowy,8,Skiing,Winter,International,Colorado
Low,Snowy,5,Skiing,Winter,Domestic,Kashmir Valley
Low,Rainy,6,Jungle Trekking,Dry,International,Manu National Park
Medium,Warm,4,Island Hopping,Spring,Domestic,Kashmir Valley
High,Snowy,11,Skiing,Winter,International,Sweden
Low,Sunny,6,Beach,Spring,Domestic,Shimla
Medium,Cool,8,Mountain Climbing,Summer,International,Patagonia
Low,Warm,4,Beach,Spring,International,Cancun
Low,Warm,4,Food Tour,Summer,International,Italy
High,Mild,8,Food Tour,Spring,International,Mexico
Medium,Rainy,7,Wildlife,Winter,International,Kenya
Medium,Cool,4,Historical,Autumn,International,Cairo
Low,Temperate,4,Food Tour,Autumn,International,Vietnam
Medium,Snowy,10,Skiing,Winter,Domestic,Kerala Backwaters
Medium,Warm,7,Jungle Trekking,Winter,International,Congo
Medium,Warm,2,Desert Safari,Winter,International,Dubai
High,Temperate,6,Wildlife,Spring,International,Galapagos
Medium,Cold,10,Mountain Climbing,Summer,Domestic,Rajasthan Forts
High,Warm,4,Historical,Spring,International,Cairo
Medium,Hot,3,Wildlife,Winter,International,Madagascar
Low,Warm,7,Island Hopping,Summer,International,Croatia
High,Warm,3,Desert Safari,Autumn,International,Namibia
High,Hot,6,Desert Safari,Autumn,International,Namibia
Medium,Snowy,9,Skiing,Winter,International,Canada
Medium,Warm,4,Island Hopping,Spring,International,Fiji
High,Temperate,5,Wildlife,Spring,International,Serengeti
Medium,Hot,3,Beach,Spring,International,Bali
Low,Warm,6,Jungle Trekking,Winter,International,Borneo
Medium,Cold,9,Skiing,Winter,Domestic,Sundarbans
Medium,Warm,7,Island Hopping,Summer,Domestic,Rajasthan Forts
Medium,Warm,2,Desert Safari,Winter,Domestic,Jaipur
High,Warm,11,Cruise,Summer,International,Greek Islands
Medium,Warm,4,Beach,Spring,Domestic,Jaipur
High,Warm,2,Desert Safari,Winter,International,Egypt
Low,Warm,2,Desert Safari,Winter,Domestic,Mysore
Low,Temperate,7,Hiking,Winter,Domestic,Sundarbans
High,Hot,2,Desert Safari,Winter,International,Namibia
Medium,Hot,2,Desert Safari,Winter,International,Namibia
Low,Mild,2,City Break,Summer,International,Prague
Medium,Snowy,8,Skiing,Winter,International,Canada
Low,Mild,2,City Break,Summer,Domestic,Andaman Islands
Low,Cool,11,Mountain Climbing,Summer,Domestic,Andaman Islands
Low,Sunny,5,Island Hopping,Summer,International,Fiji
Medium,Mild,4,Food Tour,Spring,International,Mexico
Low,Rainy,6,Wildlife,Spring,International,Costa Rica
Low,Cold,7,Hiking,Spring,International,Austrian Alps
Medium,Cool,3,Historical,Spring,International,Kyoto
Medium,Warm,2,City Break,Spring,International,New York
Medium,Mild,9,Hiking,Winter,Domestic,Jaipur
High,Sunny,7,Beach,Summer,Domestic,Cox’s Bazar
High,Cold,7,Skiing,Winter,International,France
High,Mild,8,Food Tour,Summer,International,Thailand
Low,Cool,8,Mountain Climbing,Spring,International,Mont Blanc
Medium,Warm,2,Beach,Summer,International,Santorini
High,Mild,12,Cruise,Spring,Domestic,Kerala Backwaters
Medium,Sunny,4,Island Hopping,Spring,Domestic,Ladakh
High,Cold,11,Skiing,Winter,International,Canada
Low,Mild,2,Food Tour,Summer,International,Spain
Low,Warm,3,Food Tour,Spring,Domestic,Rajasthan Forts
Low,Mild,2,Historical,Spring,International,Machu Picchu
Low,Mild,2,City Break,Summer,International,Barcelona
Medium,Mild,2,City Break,Autumn,Domestic,Sundarbans
Low,Hot,3,Jungle Trekking,Winter,International,Costa Rica
Medium,Cold,9,Hiking,Winter,International,Nepal
Medium,Mild,2,Historical,Autumn,International,Istanbul
Low,Hot,4,Beach,Spring,International,Phuket
Medium,Warm,3,Island Hopping,Summer,International,Greece
Medium,Cool,4,City Break,Autumn,Domestic,Rajasthan Forts
Medium,Warm,3,Island Hopping,Summer,International,Croatia
Medium,Warm,7,Jungle Trekking,Winter,International,Borneo
High,Mild,11,Cruise,Spring,International,Alaska
Medium,Snowy,9,Skiing,Winter,International,Colorado
Medium,Rainy,7,Jungle Trekking,Dry,International,Congo
High,Cool,11,Mountain Climbing,Spring,International,Patagonia
Low,Warm,2,Wildlife,Winter,International,Serengeti
Medium,Warm,7,Food Tour,Summer,International,Mexico
High,Temperate,5,Food Tour,Autumn,International,Mexico
High,Hot,3,Desert Safari,Winter,International,Dubai
High,Warm,5,Desert Safari,Autumn,International,Morocco
Medium,Hot,4,Beach,Summer,Domestic,Shimla
Medium,Cool,6,Historical,Spring,International,Cairo
Medium,Mild,8,Hiking,Autumn,Domestic,Cox’s Bazar
Low,Rainy,2,Wildlife,Winter,Domestic,Goa Beaches
Medium,Snowy,7,Skiing,Winter,Domestic,Agra
High,Cold,8,Skiing,Winter,International,Canada
Low,Warm,5,Jungle Trekking,Winter,International,Congo
Medium,Warm,5,Beach,Spring,International,Bali
High,Cold,12,Mountain Climbing,Summer,Domestic,Darjeeling Hills
Medium,Hot,4,Jungle Trekking,Dry,International,Congo
Medium,Cold,8,Mountain Climbing,Summer,International,Mont Blanc
Medium,Warm,4,Beach,Spring,Domestic,Mysore
Low,Rainy,4,Wildlife,Winter,International,Serengeti
Medium,Warm,3,Beach,Summer,International,Bali
Low,Temperate,8,Hiking,Winter,Domestic,Shimla
Medium,Cool,11,Mountain Climbing,Summer,International,Everest Base Camp
Medium,Mild,8,Food Tour,Spring,International,Spain
Medium,Cool,5,Hiking,Autumn,Domestic,Agra
High,Hot,3,Desert Safari,Autumn,International,Dubai
Low,Cold,5,Hiking,Winter,Domestic,Goa Beaches
Low,Warm,4,Desert Safari,Winter,Domestic,Shimla
High,Cold,14,Mountain Climbing,Summer,International,Patagonia
High,Warm,10,Cruise,Summer,International,Alaska
High,Cool,14,Mountain Climbing,Spring,International,Kilimanjaro
Low,Hot,4,Island Hopping,Summer,Domestic,Agra
Medium,Warm,2,Desert Safari,Winter,Domestic,Darjeeling Hills
Low,Sunny,5,Beach,Summer,International,Gold Coast
Medium,Hot,2,Desert Safari,Winter,International,Morocco
Medium,Warm,4,Desert Safari,Autumn,International,Morocco
Medium,Mild,4,Hiking,Winter,International,Switzerland
High,Hot,5,Beach,Spring,International,Santorini
Low,Cold,11,Mountain Climbing,Summer,International,Patagonia
Low,Cold,4,Hiking,Autumn,Domestic,Agra
Medium,Cool,2,City Break,Autumn,International,London
Low,Warm,3,Beach,Spring,International,Maldives
Low,Temperate,4,City Break,Autumn,International,New York
Low,Sunny,7,Cruise,Spring,International,Alaska
High,Cold,6,Skiing,Winter,Domestic,Darjeeling Hills
Medium,Temperate,8,Food Tour,Autumn,International,Mexico
Low,Temperate,2,City Break,Summer,International,London
High,Sunny,11,Cruise,Spring,International,Alaska
High,Warm,7,Cruise,Summer,International,Caribbean
High,Cool,5,Hiking,Winter,International,Austrian Alps
Medium,Mild,7,Historical,Spring,International,Kyoto
Medium,Sunny,5,Island Hopping,Summer,Domestic,Goa Beaches
Medium,Mild,5,Historical,Spring,Domestic,Jaipur
Low,Temperate,6,Food Tour,Summer,International,Mexico
Low,Temperate,3,City Break,Spring,Domestic,Shimla
Medium,Cool,3,City Break,Spring,Domestic,Kashmir Valley
Low,Temperate,6,Historical,Autumn,Domestic,Varanasi
Medium,Warm,8,Food Tour,Autumn,International,Mexico
High,Mild,8,Historical,Spring,International,Machu Picchu
High,Warm,9,Cruise,Spring,International,Mediterranean
Medium,Warm,4,Desert Safari,Autumn,International,Namibia
Low,Hot,2,Desert Safari,Winter,Domestic,Mysore
Medium,Mild,3,City Break,Summer,Domestic,Goa Beaches
Low,Cool,5,Hiking,Spring,International,Nepal
Low,Snowy,9,Skiing,Winter,International,France
High,Snowy,7,Skiing,Winter,International,Swiss Alps
High,Warm,5,Desert Safari,Autumn,International,Namibia
Low,Sunny,6,Cruise,Summer,International,Alaska
Low,Rainy,6,Wildlife,Winter,International,Serengeti
High,Cold,12,Mountain Climbing,Summer,International,Patagonia
Medium,Warm,3,Desert Safari,Winter,International,Morocco
Low,Hot,5,Island Hopping,Summer,International,Croatia
High,Cold,10,Mountain Climbing,Summer,International,Kilimanjaro
Low,Cold,6,Hiking,Autumn,Domestic,Cox’s Bazar
Low,Warm,5,Jungle Trekking,Dry,International,Borneo
High,Temperate,2,City Break,Summer,International,Paris
High,Cold,8,Hiking,Winter,International,Norway
Low,Cold,9,Mountain Climbing,Summer,Domestic,Andaman Islands
High,Warm,8,Food Tour,Spring,International,Italy
Medium,Cool,8,Hiking,Winter,International,New Zealand
Medium,Mild,5,Historical,Autumn,International,Kyoto
High,Warm,6,Jungle Trekking,Winter,International,Congo
Low,Hot,3,Jungle Trekking,Winter,International,Costa Rica
Medium,Warm,4,Food Tour,Autumn,Domestic,Kashmir Valley
Medium,Mild,5,Historical,Spring,International,Machu Picchu
Low,Cool,4,Hiking,Winter,International,Austrian Alps
High,Warm,12,Cruise,Summer,International,Mediterranean
High,Temperate,6,Hiking,Spring,International,New Zealand
High,Warm,7,Cruise,Spring,International,Mediterranean
High,Rainy,4,Wildlife,Winter,International,Serengeti
High,Warm,4,Island Hopping,Spring,Domestic,Rishikesh
Medium,Snowy,8,Skiing,Winter,Domestic,Ladakh
High,Snowy,8,Skiing,Winter,Domestic,Kashmir Valley
Medium,Cold,9,Hiking,Spring,International,Switzerland
Medium,Hot,8,Jungle Trekking,Winter,International,Borneo
Medium,Warm,2,Historical,Spring,International,Kyoto
Low,Sunny,3,Beach,Summer,International,Bali
Low,Mild,6,Food Tour,Spring,Domestic,Rishikesh
Medium,Cool,11,Mountain Climbing,Spring,International,Mont Blanc
Low,Warm,3,Jungle Trekking,Winter,International,Borneo
Low,Temperate,7,Wildlife,Winter,Domestic,Sundarbans
Medium,Cold,9,Mountain Climbing,Spring,Domestic,Mysore
High,Sunny,9,Cruise,Spring,International,Alaska
Low,Hot,2,Island Hopping,Spring,International,Greece
Medium,Hot,9,Jungle Trekking,Winter,International,Borneo
Low,Temperate,7,Food Tour,Spring,International,Italy
Low,Cool,4,Historical,Autumn,International,Machu Picchu
High,Warm,3,Desert Safari,Winter,International,Dubai
Low,Warm,6,Island Hopping,Summer,International,Croatia
Medium,Snowy,8,Skiing,Winter,International,Canada
Low,Warm,7,Food Tour,Summer,International,Thailand
High,Snowy,10,Skiing,Winter,Domestic,Goa Beaches
Medium,Warm,3,Historical,Autumn,International,Istanbul
Low,Cool,12,Mountain Climbing,Summer,Domestic,Cox’s Bazar
High,Hot,6,Jungle Trekking,Winter,International,Borneo
Low,Cold,4,Hiking,Spring,International,Austrian Alps
Low,Warm,3,City Break,Spring,International,New York
Low,Warm,5,Island Hopping,Summer,International,Croatia
High,Cold,12,Mountain Climbing,Summer,International,Patagonia
High,Mild,4,City Break,Spring,Domestic,Kerala Backwaters
High,Warm,5,Jungle Trekking,Winter,International,Manu National Park
High,Cool,7,Historical,Autumn,International,Machu Picchu
Medium,Rainy,8,Jungle Trekking,Dry,International,Costa Rica
Medium,Cold,13,Mountain Climbing,Spring,Domestic,Cox’s Bazar
High,Snowy,7,Skiing,Winter,International,Japan
Medium,Hot,2,Desert Safari,Autumn,Domestic,Ladakh
High,Sunny,10,Cruise,Summer,Domestic,Agra
Medium,Sunny,5,Island Hopping,Spring,International,Philippines
High,Sunny,12,Cruise,Spring,International,Caribbean
Low,Hot,3,Beach,Spring,International,Cancun
Medium,Sunny,8,Cruise,Spring,International,Caribbean
High,Sunny,11,Cruise,Summer,International,Alaska
Low,Warm,5,Food Tour,Autumn,Domestic,Rishikesh
High,Cold,10,Skiing,Winter,Domestic,Goa Beaches
Medium,Sunny,8,Island Hopping,Spring,International,Croatia
Medium,Cool,7,Hiking,Autumn,International,Norway
High,Warm,12,Cruise,Spring,International,Greek Islands
Low,Hot,3,Jungle Trekking,Winter,Domestic,Kerala Backwaters
Low,Temperate,6,Food Tour,Spring,Domestic,Kashmir Valley
Medium,Warm,7,Jungle Trekking,Winter,International,Manu National Park
High,Warm,9,Cruise,Spring,Domestic,Agra
Medium,Cool,9,Mountain Climbing,Summer,International,Mont Blanc
Low,Cold,10,Mountain Climbing,Summer,International,Everest Base Camp
Medium,Warm,3,Wildlife,Monsoon,Domestic,Goa Beaches
High,Cold,8,Skiing,Winter,International,Canada
High,Sunny,8,Cruise,Spring,International,Mediterranean
Medium,Cool,6,Hiking,Spring,International,Norway
Low,Mild,2,City Break,Autumn,International,Prague
Low,Cold,8,Mountain Climbing,Spring,International,Kilimanjaro
Medium,Hot,3,Island Hopping,Spring,Domestic,Shimla
High,Cold,7,Skiing,Winter,Domestic,Kerala Backwaters
Low,Temperate,4,City Break,Autumn,Domestic,Andaman Islands
Low,Cool,4,Historical,Autumn,Domestic,Mysore
Low,Hot,5,Wildlife,Monsoon,International,Serengeti
Low,Cold,9,Mountain Climbing,Spring,International,Mont Blanc
High,Cool,8,Hiking,Spring,International,New Zealand
High,Cold,9,Skiing,Winter,Domestic,Shimla
Low,Hot,3,Desert Safari,Winter,International,Egypt
High,Cold,9,Mountain Climbing,Spring,Domestic,Rishikesh
Medium,Cold,5,Skiing,Winter,International,Sweden
Medium,Cold,8,Hiking,Autumn,Domestic,Ladakh
Low,Rainy,7,Wildlife,Spring,Domestic,Andaman Islands
Low,Cold,7,Hiking,Autumn,International,New Zealand
Medium,Sunny,8,Cruise,Summer,International,Greek Islands
High,Warm,6,Beach,Spring,International,Cancun
Low,Mild,8,Cruise,Summer,Domestic,Sundarbans
Low,Warm,4,Island Hopping,Spring,Domestic,Mysore
Medium,Cool,8,Hiking,Autumn,Domestic,Rajasthan Forts
Low,Cool,4,City Break,Autumn,International,Paris
Medium,Temperate,3,Historical,Spring,International,Kyoto
Medium,Cold,9,Mountain Climbing,Summer,International,Everest Base Camp
